Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
63415706,12/17/2024 12:38:16 AM,12/17/2024 01:07:57 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11213,1760 UNION STREET,UNION STREET,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,BROOKLYN,UNION STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:08:00 AM,09 BROOKLYN,3014030025,BROOKLYN,1003773,182555,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.667726514487654,-73.92962529775419,"(40.667726514487654, -73.92962529775419)"
63426430,12/17/2024 12:35:35 AM,12/17/2024 01:04:02 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11217,661 SACKETT STREET,SACKETT STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,SACKETT STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/17/2024 01:04:05 AM,06 BROOKLYN,3009490001,BROOKLYN,989238,186224,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67781721617921,-73.98201700083251,"(40.67781721617921, -73.98201700083251)"
63428251,12/17/2024 12:32:41 AM,12/17/2024 01:36:15 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11210,1368 FLATBUSH AVENUE,FLATBUSH AVENUE,EAST   26 STREET,EAST   26 STREET,EAST   26 STREET,EAST   26 STREET,ADDRESS,BROOKLYN,FLATBUSH AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/17/2024 01:36:19 AM,14 BROOKLYN,3052260024,BROOKLYN,997544,171359,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.637007482919444,-73.9521010827831,"(40.637007482919444, -73.9521010827831)"
63417568,12/17/2024 12:29:11 AM,12/17/2024 01:08:34 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11213,1760 UNION STREET,UNION STREET,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,BROOKLYN,UNION STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:08:37 AM,09 BROOKLYN,3014030025,BROOKLYN,1003773,182555,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.667726514487654,-73.92962529775419,"(40.667726514487654, -73.92962529775419)"
63417566,12/17/2024 12:28:48 AM,12/17/2024 01:08:10 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11213,1760 UNION STREET,UNION STREET,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,BROOKLYN,UNION STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:08:14 AM,09 BROOKLYN,3014030025,BROOKLYN,1003773,182555,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.667726514487654,-73.92962529775419,"(40.667726514487654, -73.92962529775419)"
63418840,12/17/2024 12:27:49 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11211,155 SOUTH FOURTH STREET,SOUTH FOURTH STREET,BEDFORD AVENUE,DRIGGS AVENUE,BEDFORD AVENUE,DRIGGS AVENUE,ADDRESS,BROOKLYN,SOUTH    4 STREET,,In Progress,,,12/17/2024 02:39:24 AM,01 BROOKLYN,3024310031,BROOKLYN,994785,198523,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.71157025286253,-73.96199943182411,"(40.71157025286253, -73.96199943182411)"
63426804,12/17/2024 12:25:02 AM,12/17/2024 01:07:52 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11213,1760 UNION STREET,UNION STREET,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,BROOKLYN,UNION STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:07:55 AM,09 BROOKLYN,3014030025,BROOKLYN,1003773,182555,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.667726514487654,-73.92962529775419,"(40.667726514487654, -73.92962529775419)"
63424894,12/17/2024 12:21:10 AM,12/17/2024 12:24:47 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,150 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,GATES AVENUE,MONROE STREET,GATES AVENUE,MONROE STREET,ADDRESS,BROOKLYN,MALCOLM X BOULEVARD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 12:24:51 AM,03 BROOKLYN,3016360024,BROOKLYN,1003623,190063,PHONE,Unspecified,BROOKLYN,,,,,,,,40.688334599490894,-73.93014442097454,"(40.688334599490894, -73.93014442097454)"
63415705,12/17/2024 12:07:01 AM,12/17/2024 01:01:55 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11212,720 ROCKAWAY AVENUE,ROCKAWAY AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,ADDRESS,BROOKLYN,ROCKAWAY AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:01:59 AM,16 BROOKLYN,3035890135,BROOKLYN,1009546,180523,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66213451591463,-73.908822959448,"(40.66213451591463, -73.908822959448)"
63417473,12/16/2024 11:54:18 PM,12/17/2024 12:18:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11218,1002 CORTELYOU ROAD,CORTELYOU ROAD,CONEY ISLAND AVENUE,STRATFORD ROAD,CONEY ISLAND AVENUE,STRATFORD ROAD,ADDRESS,BROOKLYN,CORTELYOU ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 12:18:41 AM,14 BROOKLYN,3051530001,BROOKLYN,992953,172197,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.639313314578246,-73.96864159248496,"(40.639313314578246, -73.96864159248496)"
63426408,12/16/2024 11:37:29 PM,12/17/2024 12:14:56 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11222,17 MONITOR STREET,MONITOR STREET,RICHARDSON STREET,HERBERT STREET,RICHARDSON STREET,HERBERT STREET,ADDRESS,BROOKLYN,MONITOR STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/17/2024 12:14:59 AM,01 BROOKLYN,3028320015,BROOKLYN,1000425,201493,PHONE,Unspecified,BROOKLYN,,,,,,,,40.71971367718542,-73.94164837977573,"(40.71971367718542, -73.94164837977573)"
63419030,12/16/2024 11:31:17 PM,12/17/2024 01:23:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,733 FRANKLIN AVENUE,FRANKLIN AVENUE,PARK PLACE,STERLING PLACE,PARK PLACE,STERLING PLACE,ADDRESS,BROOKLYN,FRANKLIN AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:23:57 AM,08 BROOKLYN,3012380005,BROOKLYN,996209,184700,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.673627507320624,-73.95688749312063,"(40.673627507320624, -73.95688749312063)"
63428454,12/16/2024 11:23:42 PM,12/16/2024 11:25:59 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,997 DEKALB AVENUE,DEKALB AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,ADDRESS,BROOKLYN,DEKALB AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/16/2024 11:26:03 PM,03 BROOKLYN,3015980001,BROOKLYN,1002141,191838,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69320968391036,-73.93548353243136,"(40.69320968391036, -73.93548353243136)"
63426709,12/16/2024 11:16:17 PM,12/17/2024 12:14:06 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,437 HERKIMER STREET,HERKIMER STREET,KINGSTON AVENUE,ALBANY AVENUE,KINGSTON AVENUE,ALBANY AVENUE,ADDRESS,BROOKLYN,HERKIMER STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/17/2024 12:14:11 AM,03 BROOKLYN,3018640044,BROOKLYN,1001126,186689,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67907885449808,-73.93915660433757,"(40.67907885449808, -73.93915660433757)"
63421296,12/16/2024 11:12:43 PM,12/17/2024 01:31:23 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11220,435 49 STREET,49 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,49 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:31:26 AM,07 BROOKLYN,3007740063,BROOKLYN,981180,174806,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6464782024751,-74.01106292625843,"(40.6464782024751, -74.01106292625843)"
63415212,12/16/2024 11:03:04 PM,12/17/2024 12:04:03 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,1911 ALBEMARLE ROAD,ALBEMARLE ROAD,EAST   19 STREET,OCEAN AVENUE,EAST   19 STREET,OCEAN AVENUE,ADDRESS,BROOKLYN,ALBEMARLE ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 12:04:07 AM,14 BROOKLYN,3051000080,BROOKLYN,995019,175062,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64717485176219,-73.9611928663221,"(40.64717485176219, -73.9611928663221)"
63424774,12/16/2024 10:57:02 PM,12/16/2024 10:58:16 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,150 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,GATES AVENUE,MONROE STREET,GATES AVENUE,MONROE STREET,ADDRESS,BROOKLYN,MALCOLM X BOULEVARD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/16/2024 10:58:21 PM,03 BROOKLYN,3016360024,BROOKLYN,1003623,190063,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.688334599490894,-73.93014442097454,"(40.688334599490894, -73.93014442097454)"
63425013,12/16/2024 10:55:29 PM,12/17/2024 01:09:40 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,1037 NOSTRAND AVENUE,NOSTRAND AVENUE,STERLING STREET,LEFFERTS AVENUE,STERLING STREET,LEFFERTS AVENUE,ADDRESS,BROOKLYN,NOSTRAND AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/17/2024 01:09:44 AM,09 BROOKLYN,3013210006,BROOKLYN,997883,180797,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66291222440815,-73.95086057373497,"(40.66291222440815, -73.95086057373497)"
63422773,12/16/2024 10:48:28 PM,12/16/2024 11:06:59 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11216,609 NOSTRAND AVENUE,NOSTRAND AVENUE,DEAN STREET,BERGEN STREET,DEAN STREET,BERGEN STREET,ADDRESS,BROOKLYN,NOSTRAND AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/16/2024 11:07:02 PM,08 BROOKLYN,3012130004,BROOKLYN,998152,185683,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6763227825823,-73.94988090130595,"(40.6763227825823, -73.94988090130595)"
63428437,12/16/2024 10:47:55 PM,12/17/2024 12:05:17 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225,1180 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,PRESIDENT STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/17/2024 12:05:20 AM,09 BROOKLYN,3012820034,BROOKLYN,997694,182691,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.668111122093144,-73.95153803723703,"(40.668111122093144, -73.95153803723703)"
63421287,12/16/2024 10:46:30 PM,12/16/2024 11:05:09 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,128 MOFFAT STREET,MOFFAT STREET,EVERGREEN AVENUE,CENTRAL AVENUE,EVERGREEN AVENUE,CENTRAL AVENUE,ADDRESS,BROOKLYN,MOFFAT STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,12/16/2024 11:05:13 PM,04 BROOKLYN,3034460012,BROOKLYN,1009913,189383,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68645215349702,-73.90746640896775,"(40.68645215349702, -73.90746640896775)"
63426637,12/16/2024 10:46:24 PM,12/17/2024 12:06:26 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11218,599 EAST    5 STREET,EAST    5 STREET,CORTELYOU ROAD,DITMAS AVENUE,CORTELYOU ROAD,DITMAS AVENUE,ADDRESS,BROOKLYN,EAST    5 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 12:06:29 AM,12 BROOKLYN,3053890082,BROOKLYN,991360,171529,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.637481219327036,-73.97438214931427,"(40.637481219327036, -73.97438214931427)"
63422795,12/16/2024 10:46:03 PM,12/16/2024 11:13:56 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11206,167 GRAHAM AVENUE,GRAHAM AVENUE,MONTROSE AVENUE,MESEROLE STREET,MONTROSE AVENUE,MESEROLE STREET,ADDRESS,BROOKLYN,GRAHAM AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/16/2024 11:13:59 PM,01 BROOKLYN,3030520022,BROOKLYN,999978,197117,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70770340973375,-73.94327116381723,"(40.70770340973375, -73.94327116381723)"
63415193,12/16/2024 10:38:30 PM,12/16/2024 11:07:21 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11216,609 NOSTRAND AVENUE,NOSTRAND AVENUE,DEAN STREET,BERGEN STREET,DEAN STREET,BERGEN STREET,ADDRESS,BROOKLYN,NOSTRAND AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/16/2024 11:07:24 PM,08 BROOKLYN,3012130004,BROOKLYN,998152,185683,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6763227825823,-73.94988090130595,"(40.6763227825823, -73.94988090130595)"
63424736,12/16/2024 10:35:05 PM,12/16/2024 10:51:43 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11204,7402 BAY PARKWAY,BAY PARKWAY,74 STREET,BAY RIDGE PARKWAY,74 STREET,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,BAY PARKWAY,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,12/16/2024 10:51:46 PM,11 BROOKLYN,3062190029,BROOKLYN,987908,161033,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.60867399244361,-73.98682564552746,"(40.60867399244361, -73.98682564552746)"
63428742,12/16/2024 10:34:25 PM,12/16/2024 11:15:35 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,28 FAYETTE STREET,FAYETTE STREET,BROADWAY,BEAVER STREET,BROADWAY,BEAVER STREET,ADDRESS,BROOKLYN,FAYETTE STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/16/2024 11:15:38 PM,04 BROOKLYN,3031327503,BROOKLYN,1000970,194534,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.700611864867305,-73.93969956417916,"(40.700611864867305, -73.93969956417916)"
63422662,12/16/2024 10:31:00 PM,12/17/2024 01:27:54 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11232,527 40 STREET,40 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,40 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:27:59 AM,07 BROOKLYN,3009130061,BROOKLYN,983211,176186,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65026647471642,-74.00374431042732,"(40.65026647471642, -74.00374431042732)"
63428476,12/16/2024 10:30:07 PM,12/16/2024 10:51:04 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11217,40 5 AVENUE,5 AVENUE,DEAN STREET,BERGEN STREET,DEAN STREET,BERGEN STREET,ADDRESS,BROOKLYN,5 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/16/2024 10:51:07 PM,06 BROOKLYN,3009300040,BROOKLYN,990684,187686,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681829141655435,-73.97680241018188,"(40.681829141655435, -73.97680241018188)"
63428734,12/16/2024 10:26:39 PM,12/17/2024 01:02:35 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,1207 NOSTRAND AVENUE,NOSTRAND AVENUE,HAWTHORNE STREET,WINTHROP STREET,HAWTHORNE STREET,WINTHROP STREET,ADDRESS,BROOKLYN,NOSTRAND AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:02:39 AM,09 BROOKLYN,3048190010,BROOKLYN,998038,178908,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65772709647846,-73.95030574722443,"(40.65772709647846, -73.95030574722443)"
63416837,12/16/2024 10:23:42 PM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225,245 MIDWOOD STREET,MIDWOOD STREET,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,MIDWOOD STREET,,In Progress,,,,09 BROOKLYN,3050330069,BROOKLYN,997456,179740,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66001164030999,-73.95240174251533,"(40.66001164030999, -73.95240174251533)"
63424955,12/16/2024 10:19:26 PM,12/16/2024 11:03:26 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,1313 HALSEY STREET,HALSEY STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,ADDRESS,BROOKLYN,HALSEY STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,12/16/2024 11:03:31 PM,04 BROOKLYN,3034060047,BROOKLYN,1010056,192195,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69417002575999,-73.90694001981417,"(40.69417002575999, -73.90694001981417)"
63417182,12/16/2024 10:17:47 PM,12/17/2024 01:28:11 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225,1178 PRESIDENT STREET,PRESIDENT STREET,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,PRESIDENT STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/17/2024 01:28:17 AM,09 BROOKLYN,,BROOKLYN,997678,182692,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.668113891151556,-73.95159571088082,"(40.668113891151556, -73.95159571088082)"
63422804,12/16/2024 10:08:17 PM,12/16/2024 10:29:11 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11212,219 LOTT AVENUE,LOTT AVENUE,OSBORN STREET,WATKINS STREET,OSBORN STREET,WATKINS STREET,ADDRESS,BROOKLYN,LOTT AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,12/16/2024 10:29:16 PM,16 BROOKLYN,3036170040,BROOKLYN,1010484,179123,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65828909709927,-73.90544747653995,"(40.65828909709927, -73.90544747653995)"
